Title,Year,Doi,InvestigatorName,Field of research,Discipline,Type of project,Research question or aim,Did the authors define the type of reproducibility that is investigated?,Aspect of reproducibility investigated,"Even if defined by the authors, infer the aspect of reproducibility investigated",Did the authors measure reproducibility,Did they measure reproducibility using measures not in the previous list?,Paste description of each of the measures used,Did the paper refer to other papers for more information on the metric(s) used?,Paste the doi of all paper(s),Did the authors discuss limitations or assumptions of the metric(s) used?,Paste text on limitation/assumptions,"Did the authors discuss equity, diversity, and/or inclusion at any point?",Paste text on EDI dimension discussion
Evaluating replicability of laboratory experiments in economics,2016,10.1126/science.aaf0918,Joris Frese,Social Sciences and Humanities,Economics,"Many Phenomena, Many studies","""The replicability of some scientific findings has recently been called into question. To contribute data about replicability in economics, we replicated 18 studies published in the American Economic Review and the Quarterly Journal of Economics between 2011 and 2014."" (Abstract)",True,"""Our sample consists of all 18 between-subject laboratory experimental papers published in the American Economic Review and the Quarterly Journal of Economics between 2011 and 2014. The most important statistically significant finding as emphasized by the authors of each paper, was chosen for replication (see section 1 of the supplementary materials and tables S1 and S2). We used replication sample sizes with at least 90% power (mean = 92%; median = 91%) to detect the original effect size at the 5% significance level"" (pp.1433-1434)",Different data - same analysis,(1) Agreement in statistical significance(2) Agreement in effect size(3) Meta-analysis of original and replication study/studies,False,NA,True,10.1198/000313006X152649; 10.1111/j.1745-6924.2008.00079.x,True,"""The results of the replications are shown in Fig. 1A and table S1. We found a significant effect in the same direction as in the original study for 11 replications (61.1%). This is considerably lower than the replication rate of 92% (mean power) that would be expected if all original effects were true and accurately estimated (one-sample binomial test, P < 0.001). A complementary method for assessing replicability is to test whether the 95% confidence interval (CI) of the replication effect size includes the original effect size (19) [Cumming (21) discusses the interpretation of CIs for replications]. This is the case in 12 of our replications (66.7%). If we also include the study in which the entire 95% CI exceeds the original effect size, the number of replicable studies increases to 13 (72.2%). An alternative measure, which acknowledges sampling error in both the original study and the replications, is to count how many replicated effects lie in a 95% “prediction interval” (24). This count is higher (83.3%) and increases to 88.9% if we also include the replication whose effect size exceeds the upper bound of the prediction interval (fig. S2 and supplementary materials, section 2). The mean standardized effect size (correlation coefficient, r) of the replications is 0.279, compared with 0.474 in the original studies (fig. S3). This difference is significant [Wilcoxon signedrank test; z = –2.98, P = 0.003, n = 18]. The replicated effect sizes tend to be of the same sign as the original ones but not as large. The mean relative effect size of the replications is 65.9%. The original and replication studies can also be combined in a meta-analytic estimate of the effect size (19). As shown in Fig. 1B, in the metaanalysis, 14 studies (77.8%) have a significant effect in the same direction as in the original study. These results should be interpreted cautiously, because the estimates assume that the results of the original studies do not have publication or reporting biases",False,NA
Evaluating replicability of laboratory experiments in economics,2016,10.1126/science.aaf0918,Louise Townsin,Social Sciences and Humanities,Economics,"Many Phenomena, Many studies","Our sample consists of all 18 between-subject laboratory experimental papers published in the American Economic Review and the Quarterly Journal of Economics between 2011 and 2014. The most important statistically significant finding, as emphasized by the authors of each paper, was chosen for replication (see section 1 of the supplementary materials and tables S1 and S2). We used replication sample sizes with at least 90% power (mean = 92%; median = 91%) to detect the original effect size at the 5% significance level. All of the replication and analysis plans were made public on the project website (supplementary materials, section 1) and were also sent to the original authors for verification.",False,NA,Same data - different analysis,"Agreement in statistical significance [Comment: We present results for the same replication indicators that were used in the RPP. As our first indicator of replication, we used a “significant effect in the same direction as in the original study”. A complementary method for assessing replicability is to test whether the 95% confidence interval (CI) of the replication effect size includes the original effect size. An alternative measure, which acknowledges sampling error in both the original study and the replications, is to count how many replicated effects lie in a 95% “prediction interval”. We also tested whether replicability is correlated with two observable characteristics of published studies: the P value and the sample size (number of participants) of the original study. The original and replication studies can also be combined in a meta-analytic estimate of the effect size. To measure peer beliefs about the replicability of original results, we set up prediction markets before the 18 replications were performed.]",False,NA,False,NA,True,"Acknowledging the limits of this two-study comparison, and particularly our small sample of 18 replications, there appears to be some difference in replication success between these fields. However, it is premature to draw strong conclusions about disciplinary differences; other methodological factors potentially could explain why the replication rates differed. [Comment: the original effect sizes in the studies that we replicated could have been inflated, a phenomenon that could stem from publication bias (28). If there is publication bias, our prospective power analyses will have overestimated the replication power.]",False,NA
Reproducibility of findings in modern PET neuroimaging: insight from the NRM2018 grand challenge,2021,10.1177/0271678X211015101,Helena Hartmann,Life Sciences,Neuroimaging,"One Phenomenon, Many Studies",assess the performance and consistency of PET pre-processing and modelling approaches on a common data set where the ground truth was known,True,ability to replicate experimental results,Same data - different analysis,"(1) Agreement in statistical significance [Comment: the capacity of returning the correct BPND values both in terms of single maps and in terms of magnitude of change in the displacement regions,](2) Subjective assessment [Comment: the spatial identification of the simulated displaced regions.  For the second criterion, i.e. the identification of the displacement regions, the Jaccard similarity index was used to compare the areas of displacement]",False,NA,False,NA,True,a limited subset of quantification methods was implemented [Comment: not sure if relevant],True,"The full dataset, inclusive of simulated dynamic PET images, reference kinetic parameters and areas of displacement..."
Reproducibility of findings in modern PET neuroimaging: insight from the NRM2018 grand challenge,2021,10.1177/0271678X211015101,Rachel Heyard,Life Sciences,Neuroscience,"One Phenomenon, Many Studies",This paper investigates the reproducibility of findings in a PET neuroimaging study by looking at the consistency of results provided by 14 imaging groups who took part in the PET Grand Challenge during the NeuroReceptor Mapping (NRM) conference in London 2018.,"False [Comment: Reproducibility, but definition provided]",NA,Same data - different analysis,None of the above,True,percentage root-mean-squared error (RMSE);Jaccard similarity index,False,NA,False,NA,False,NA
Registered Replication Report: Study 1 From Finkel Rusbult Kumashiro & Hannon (2002),2016,10.1177/1745691616664694,Helena Hartmann,Social Sciences and Humanities,Social psychology [Comment: inferred],"One Phenomenon, Many Studies","This Registered Replication Report (RRR) meta-analytically combines the results of 16 new direct replications of the original study, all of which followed a standardized, vetted, and preregistered protocol.;this study provides the only experimental evidence that inducing changes to subjective commitment can causally affect forgiveness responses.",False,NA,Different data - different analysis,(1) Meta-analysis of original and replication study/studies(2) Agreement in statistical significance(3) Agreement in effect size,False,NA,False,NA,False,NA,False,NA
Registered Replication Report: Study 1 From Finkel Rusbult Kumashiro & Hannon (2002),2016,10.1177/1745691616664694,Rachel Heyard,Social Sciences and Humanities,Psychology,"One Phenomenon, Many Studies [Comment: Registered replication report]",to provide a direct replication of this influential finding and to provide a more precise estimate of the size of the effect of this commitment prime on how people report that they would respond to betrayals from a romantic partner,True,"direct replications of the original study, all following the same vetted protocol",Different data - same analysis,None of the above,True,"Comparison of original effect to meta-analytical effect from all replications [Comment: If the RRR precisely replicated the results of the original study, it would observe a similarly sized difference for exit and neglect, and a similar lack of a difference for voice and loyalty]",False,NA,False,NA,False,NA
Reproducibility of real-world evidence studies using clinical practice data to inform regulatory and coverage decisions,2022,10.1038/s41467-022-32310-3,Rachel Heyard,Life Sciences,Medicine;Clinical trials;Real-world evidence,"Many Phenomena, One Study",To evaluate the independent reproducibility of results from 150 published RWE studies using the same healthcare databases and applying the same reported methods as original authors.,True,"Reproducibility is the ability to obtain the same results when reanalyzing the original data, following the original analysis strategy. [Comment: They defined it as being different from computational reproducibility, since they did not use original data and code - but simply followed the same steps to acquire the same data and analysis.]",Same data - same analysis,None of the above,True,"Reproducibility of population sample size was measured by dividing the sample size of the original study by the reproduction.;Reproducibility of baseline characteristics reported in an original manuscript table describing the cohort characteristics. The reproducibility of binary and categorical baseline characteristics of the study population was measured by taking the prevalence of the characteristic reported in the original publication (within each exposure group if there was more than one) and subtracting the prevalence obtained in the reproduction.;Reproducibility of outcome risks and rates was measured by taking the reported outcome risk or rate in the original publication and subtracting the risk or rate obtained in the reproduction. For descriptive studies, the overall risk or rate was reproduced. For comparative studies, the risk or rate was reproduced for each compared group. Rates were converted to reﬂect events per 100 person-years.;Reproducibility metrics for measures of associations of interest were the relative magnitude of the original effect size compared to the reproduction effect size and the Pearson’s correlation coefﬁcient between the reproduced and original effect sizes. [Comment: They used calibration plots and bland-altman plots to represent findings and compare results.]",False,NA,True,"the proportion of studies where the effect estimate was on the same side of null can mislead in RWE studies with small effect sizes as small implementation differences could conceivably result in enough change to result in an effect estimate on the other side of null in a reproduction attempt. Further, the reproduction effort is focused on US and UK data sources frequently used in research and the generalizability may be limited to well-established and curated research databases that are accessible to independent researchers. [Comment: they refer to this: 10.1515/em-2016-0018]",False,NA
Reproducibility of real-world evidence studies using clinical practice data to inform regulatory and coverage decisions,2022,10.1038/s41467-022-32310-3,Samuel Pawel,Life Sciences,healthcare;randomized clinical trials;real-world evidence,"Many Phenomena, One Study","""evaluate the independent reproducibility of results from 150 published RWE studies using the same healthcare databases and applying the same reported methods as original authors.""",True,"Reproducibility is the ability to obtain the same results when reanalyzing the original data, following the original analysis strategy",Same data - different analysis [Comment: by different analysis I mean that the replicators/reproducers tried to reimplement the analysis without just rerunning the original code],Agreement in effect size [Comment: relative magnitude of the original effect size compared to the reproduction effect size; Pearson’s correlation coefficient between the reproduced and original effect sizes (both unweighted and inverse variance weighted); proportion of studies where the absolute difference in the coefficients for the measure of association differed by ≤0.1 or ≤0.2; proportion of comparative studies where the reproduced measure of association was closer to null than the original; the proportion where the measures were on the same side of null; the proportion with any overlap in 95% confidence intervals],False,NA,True,"10.1515/em-2016-0018 [Comment: This paper was cited next to the statement ""Any single metric to characterize reproducibility is imperfect""]",True,"Any single metric to characterize reproducibility is imperfect 38 . For example, the proportion of studies where the effect estimate was on the same side of null can mislead in RWE studies with small effect sizes as small implementation differences could conceivably result in enough change to result in an effect estimate on the other side of null in a reproduction attempt.",False,NA
Using mice from different breeding sites fails to improve replicability of results from single-laboratory studies,2024,10.1038/s41684-023-01307-w,Helena Hartmann,Life Sciences,Neuroscience;Animal studies,"Many Phenomena, Many studies",we systematically tested whether heterogenization of study populations by including animals from different breeding sites is effective in improving the replicability of findings from single-laboratory animal studies,False,NA,Different data - same analysis,Agreement in effect size [Comment: not sure if significance or effect size],False,NA,False,NA,False,NA,True [Comment: not really the diveristy we mean I think],"the diversity of the mice within breeding sites may have been greater than expected, thereby limiting the scope for variation between breeding sites. This could, for example, be due to variation in age (the age of mice may vary by several days) and origin from different colony rooms."
Using mice from different breeding sites fails to improve replicability of results from single-laboratory studies,2024,10.1038/s41684-023-01307-w,Rachel Heyard,Life Sciences,preclinical research,"One Phenomenon, Many Studies [Comment: We used male C57BL/6J mice from six different breeding sites to test a standardized against a heterogenized (HET) study design in six independent replicate test laboratories]","In this Article, we therefore tested whether systematic hetero- genization of study populations, by using mice from different breeding sites to introduce the genetic and environmental variation that normally exists between independent study populations, would increase the external validity of the results sufficiently to guarantee replicability.",False [Comment: Replicability],NA,Different data - same analysis;Different data - different analysis [Comment: They used two sets of protocols],None of the above,True,"multivariate analysis of variance (MANOVA);Levene tests for equal variances;To investigate whether HET designs led to lower between-laboratory variation than STA designs, we ran for each outcome variable two separate mixed models with the outcome as a dependent variable, laboratory as fixed effect and cage ID as a random factor—one for the HET design and one for the STA design. We then compared the marginal R2 estimates. [Comment: For comparing the variance of each Levene: outcome variable between STA and HET cohorts within each of the laboratory]",False,NA,False,NA,False,NA
Estimating the reproducibility of psychological science,2015,10.1126/science.aac4716,Helena Hartmann,Social Sciences and Humanities,Psychology,"Many Phenomena, Many studies","large-scale, collaborative effort to obtain an initial estimate of the reproducibility of psychological science",False,NA,Different data - different analysis,"Agreement in statistical significance [Comment: Here, we evaluated reproducibility using significance and P values, effect sizes, subjective assessments of replication teams, and meta-analysis of effect sizes.]",False,NA,False,NA,True,These data provide information about reproducibility in general but little precision about individual effects in particular.,False,NA
Estimating the reproducibility of psychological science,2015,10.1126/science.aac4716,Rachel Heyard,Social Sciences and Humanities,Psychology,"Many Phenomena, One Study",To estimate the reproducibility of psychological science,True,"Direct replication is the attempt to recreate the conditions believed sufficient for obtaining a previously observed finding (7, 8) and is the means of establishing reproducibility of a finding with new data.",Different data - same analysis,"(1) Agreement in statistical significance [Comment: original studies that interpreted nonsignificant P values as significant were coded as significant (four cases, all with P values < 0.06). Using only the nonsignificant P values of the replication studies and applying Fisher’s method (26), we tested the hypothesis that these studies had “no evidential value” (the null hypothesis of zero-effect holds for all these studies).](2) Agreement in effect size [Comment: We compared effect sizes using four tests. We compared the central tendency of the effect size distributions of original and replication studies using both a paired two-sample t test and the Wilcoxon signed-rank test. Third, we computed the proportion of study-pairs in which the effect of the original study was stronger than in the replication study and tested the hypothesis that this proportion is 0.5. For this test, we included findings for which effect size measures were available but no correlation coefficient could be computed (for example, if a regression coefficient was reported but not its test statistic). Fourth, we calculated “coverage,” or the proportion of study-pairs in which the effect of the original study was in the CI of the effect of the replication study, and compared this with the expected pro- portion using a goodness-of-fit c2 test.](3) Meta-analysis of original and replication study/studies [Comment: fixed-effect meta-analyses using the R package metafor. The number of times the CI of all these meta-analyses contained 0 was calculated.](4) Subjective assessment [Comment: For subjective assessment, replication teams answered “yes” or “no” to the question, “Did your results replicate the original effect?”]",False,NA,False,NA,False,NA,False,NA
Comparison of Model Averaging Techniques: Assessing Growth Determinants,2012,10.1002/jae.2288,Joris Frese,Social Sciences and Humanities,Economics,"Many Phenomena, Many studies","""This paper investigates the replicability of three important studies on growth theory uncertainty that employed Bayesian model averaging tools."" (Abstract)",True,"""Our basis for comparison of BMA, WALS and MMA techniques are three recent studies of growth theory uncertainty: Fernandez et al. (2001b), Masanjala and Papageorgiou (2008) and Doppelhofer and Weeks (2009). All three datasets are publicly available on the Journal of Applied Econometrics online data archive [...] For the following analyses we construct BMA, WALS, and MMA estimators using the three datasets FLS, MP, and DW, and compare the findings"" (p. 873)",Same data - different analysis,Agreement in effect size,False,NA,False,NA,False,NA,False,NA
Comparison of Model Averaging Techniques: Assessing Growth Determinants,2012,10.1002/jae.2288,Rachel Heyard,Social Sciences and Humanities,Econometrics,"Many Phenomena, One Study",This paper set out to replicate several important studies focused on model uncertainty in the modeling of economic growth.,"False [Comment: No formal definition, but refer to replicability]",NA,Same data - different analysis,Agreement in effect size [Comment: Comparison of coefficient estimates],True,Comparison of posterior inclusion probability,False,NA,False,NA,False,NA
Registered Replication Report: Strack Martin & Stepper (1988),2016,10.1177/1745691616674458,Joris Frese,Social Sciences and Humanities,Psychology,"One Phenomenon, Many Studies","""Could smiling make us happier?"" (p. 917)",True,"""17 laboratories each conducted a direct replication study of Study 1 from SMS using a vetted protocol. By combining the results of these direct replications meta-analytically, we can provide a more precise estimate of the size of this important effect."" (p. 918)",Different data - same analysis,Meta-analysis of original and replication study/studies [Comment: Meta analysis of 17 replication studies (but not the original study)],True,"""In addition to this primary analysis, we report two Bayes factor analyses for each study."" (p. 921)",False,NA,False,NA,False,NA
Registered Replication Report: Strack Martin & Stepper (1988),2016,10.1177/1745691616674458,Rachel Heyard,Social Sciences and Humanities,Psychology,"One Phenomenon, Many Studies [Comment: Registered Replication Report]",to measure the reliability and size of an effect.,True,replicated directly using the same design and the same dependent variable. [Comment: Replicability],Different data - same analysis,(1) Agreement in statistical significance(2) Agreement in effect size [Comment: the 95% confidence interval was narrower than the one estimated for Study 1 from SMS](3) Agreement in effect size [Comment: the 95% confidence interval overlapped the mean effect size from SMS Study 1],True,Random-effects meta-analysis of all replications vs. original,False,NA,False,NA,False,NA
Multidimensional Signals and Analytic Flexibility: Estimating Degrees of Freedom in Human-Speech Analyses,2023,10.1177/25152459231162567,Helena Hartmann,Social Sciences and Humanities,Speech production research;Acoustic research,"One Phenomenon, Many Studies",assess flexibility in fields in which the primary data lend themselves to a variety of possible operationalizations,True,(a) produce data that can be replicated using the original methods and (b) arrive at robust conclusions substantiated by such data.,Same data - different analysis,(1) Meta-analysis of original and replication study/studies(2) Agreement in effect size,True,"Descriptive summary statistics [Comment: describing variation among analyses, including (a) the nature and number of acoustic measures (e.g., f0 or dura- tion), (b) the operationalization and the temporal domain of measurement (e.g., mean of an interval or value at a specified point in time), (c) the nature and number of model parameters for both fixed and random effects (if applicable), (d) the nature and reasoning behind inferential assessments (e.g., dichotomous decision based on p values, ordinal decision based on a Bayes factor), as well as the (e) mean, (f) standard deviation, and (g) range of the standardized effect sizes (see the next section for the standardization procedure).]",False,NA,False,NA,False,NA
Multidimensional Signals and Analytic Flexibility: Estimating Degrees of Freedom in Human-Speech Analyses,2023,10.1177/25152459231162567,Rachel Heyard,"Social Sciences and Humanities;Life Sciences;STEM, e.g. Engineering, Mathematics, Physics",Linguistics;Interdisciplinary,"One Phenomenon, Many Studies",The primary aim of this analysis was to assess the degree of between-team variability.,"False [Comment: No formal definition, but refer to reproducibility]",NA,Same data - same analysis,"Meta-analysis of original and replication study/studies [Comment: We investigated the variability in reported effect sizes using Bayesian meta-analytic techniques. As the measure of variability, we took the meta-analytic group-level standard deviation (σαt; see below), where each analysis team represents a group.]",False,NA,False,NA,False,NA,False,NA
Leveraging real-world data to assess treatment sequences in health economic evaluations: a study protocol for emulating target trials using the English Cancer Registry and US Electronic Health Records-Derived Database,2024,NA,Joris Frese,"Life Sciences;STEM, e.g. Engineering, Mathematics, Physics",Medicine,"Many Phenomena, Many studies","""We aim to assess the capability of two  oncology databases: the US-based Flatiron electronic health record and the National Cancer  Registration and Analysis Service (NCRAS) database of England"" (Abstract)",True,"""We aim to emulate existing RCTs that compare the effect of different treatment sequences by  constructing the study design and analysis plan following the TTE framework. Specifically, the  following case studies are planned: (1) Prostate cancer case study 1 (PC1) - US direct proof-of-concept study (method direct  validation): replicating the GUTG-001 trial using Flatiron data  (2) Prostate cancer case study 2 (PC2) - US-England bridging study (method extension): emulating Target Trials that compare treatment sequences that have been common in  England using Flatiron data  (3) Prostate cancer case study 3 (PC3) - English indirect proof-of-concept study (method  indirect validation): emulating the same Target Trial in PC2 using English NCRAS data (4) Renal cell carcinoma case study (RCC) - method direct validation in a single-arm setting:  emulating the sunitinib followed by everolimus arm in the RECORD-3 trial using English  NCRAS data 2. We will compare results of the emulated Target Trials with those from the benchmark trials.  3. We plan to compare different advanced causal inference methods (e.g. marginal structural  models using IPW and other g-methods) in estimating the effect of treatment sequences in  RWD."" (p.8)",Different data - different analysis,(1) Agreement in statistical significance(2) Agreement in effect size,False,NA,False,NA,True,"""Considering the potentially disproportionately large sample size of RWE,  achieving statistical significance might be easier compared to the benchmarks"" (p.43)",False,NA
Leveraging real-world data to assess treatment sequences in health economic evaluations: a study protocol for emulating target trials using the English Cancer Registry and US Electronic Health Records-Derived Database,2024,NA,Rachel Heyard,Social Sciences and Humanities;Life Sciences,Health economics,"Many Phenomena, One Study",to assess the feasibility of harnessing data from the English Cancer Registry and Flatiron electronic health record (EHR)-derived database to derive unbiased effect estimates for comparing oncology treatment sequences.,True,"replicate the designs and results of existing clinical trials (i.e., benchmark trials) through emulating Target Trials using RWD, including applying the same (or as far as possible) patient inclusion/exclusion criteria and analytical methods to achieve the emulation [Comment: Emulation]",Different data - same analysis;Different data - different analysis,"(1) Agreement in statistical significance [Comment: Regulatory agreement: This component assesses whether the RWE replicates its benchmark’s results (such as hazard ratio (HR) and risk ratio (RR)) in terms of both direction and statistical significance observed in the benchmark trials. Endpoints with non-significant effects in RCTs should also show no significant effect in RWE.](2) Agreement in effect size [Comment: Estimate agreement: examines whether the point estimate of RWE’s effect sizes falls within the 95% confidence intervals (CIs) of the benchmark trial. Furthermore, we added an extra procedure to include the comparison of non-relative effect estimates for timeto-event outcomes. For example, it examines whether the point effect of median survival estimates falls within the 95% confidence interval (CI) of the trial.](3) Agreement in effect size [Comment: Exploratory - standardised differences: It involves computing the standardised difference to compare the relative effect estimates from the benchmark and the RWE, to determine whether there is a statistically significant difference in the estimated effects.]",True,Exploratory - survival curve comparison: The key aspect here is assessing whether the point estimates of the RWE survival curve for each treatment-sequence group fall within the 95% CI of the benchmark trial.,True,10.1002/cpt.1633 [Comment: Agreement measures],True,"Considering the potentially disproportionately large sample size of RWE, achieving statistical significance might be easier compared to the benchmarks (and thus not easier to meet the first criteria). [Comment: Agreement in statistical significance]",False,NA
A rise by any other name? Sensitivity of growth regressions to data source,2008,10.1016/j.jmacro.2007.08.015,Helena Hartmann,Social Sciences and Humanities,Economics,"Many Phenomena, Many studies",Replication of several recent studies of growth determinants,False,NA,Same data - same analysis;Different data - same analysis,(1) Agreement in statistical significance(2) Agreement in effect size,False,NA,False,NA,False,NA,True,"Table 8 are based on the “full conditioning set of variables” that includes the variables of interest plus initial years of schooling, government size, inflation rate, black market premium, openness to trade, number of revolutions and coups, political assassinations and ethnic diversity.;As of version 6.1 PWT contains 115 benchmark countries ( i.e. countries included in the ICP) and 53 additional nonbenchmark countries."
A rise by any other name? Sensitivity of growth regressions to data source,2008,10.1016/j.jmacro.2007.08.015,Louise Townsin,Social Sciences and Humanities,Economics,"One Phenomenon, Many Studies",Measured rates of growth in real per capita income differ drastically depending on the data source. This phenomenon occurs largely because data sets differ in whether and how they adjust for changes in relative prices across countries. Replication of several recent studies of growth determinants shows that results are sensitive in important ways to the choice of data. Previous warnings against using data adjusted to increase cross-country comparability to study within-country patterns over time (growth rates) have been largely ignored at the cost of possibly contaminating the conclusions.,True [Comment: Replication of several recent studies of growth determinants shows that results are sensitive in important ways to the choice of data.],We selected four studies published in major journals since 2000 and requested the original data from the authors.9 In each case we selected a basic equation using relatively simple econometric techniques.10 We first replicated the results reported in the original paper and then replaced the dependent variable (growth rate) in the original data with growth rates calculated from own-country data as reported in the IFS data base and the income level variable on the right-hand side of the estimated equation with cross-country comparable PPP-adjusted data from the Penn World Tables.,Same data - same analysis,"Agreement in statistical significance [Comment: We have also replicated simple results from four recent studies of determinants of differences in long-term growth across countries. In each case, we retained the specification and all data from the original study except for initial income levels and measures of growth used as the dependent variable, which we calculated own-country data for growth rates and PPP adjusted cross-country comparable data for initial income levels. When these alternative sources resulted in a reduced sample size, we also reestimated the relationship using the original data but smaller sample. In each case, the results could most charitably be described as “fragile.” Key relationships change in size and significance, frequently leading to fundamentally different conclusions were the analysis to be based on seemingly simple changes of data set.]",False [Comment: No],NA,False [Comment: No],NA,False [Comment: No],NA,False [Comment: No],NA
Time to get personal? The impact of researchers choices on the selection of treatment targets using the experience sampling methodology,2020,10.1016/j.jpsychores.2020.110211,Joris Frese,Life Sciences,Psychology; Medicine,"One Phenomenon, Many Studies","""we crowdsourced the analysis of one individual patient's ESM data to 12 prominent research teams, asking them what symptom(s) they would advise the treating clinician to target in subsequent treatment."" (Abstract)",True,"""we crowdsourced the analysis of one individual patient's ESM data to 12 prominent research teams, asking them what symptom(s) they would advise the treating clinician to target in subsequent treatment."" (Abstract)",Same data - same analysis;Same data - different analysis,Subjective assessment,True,(Not pasted) Number and type of items selected for a follow-up analysis based on ESM.,True,10.1002/wps.20513 [Comment: Citation for Experience Sampling Methodology],True,"Too much to paste but various discussions of limitations in chapter 4, starting on p.10",False,NA
Time to get personal? The impact of researchers choices on the selection of treatment targets using the experience sampling methodology,2020,10.1016/j.jpsychores.2020.110211,Rachel Heyard,Social Sciences and Humanities;Life Sciences,Medicine;Psychology;Statistics [Comment: Investigate experience sampling methodology],"One Phenomenon, Many Studies",evaluate how much researchers vary in their analytical approach towards these individual time-series data and to what degree outcomes vary based on analytical choices.,"False [Comment: No formal definition, but interested in variability of methods and results]",NA,Same data - same analysis;Same data - different analysis [Comment: Teams had to answer the same research question but without following a standardized protocol],None of the above,True,"Description of differences in analytical approaches including variable selection, preprocessing, clustering and statistical analyses.;Description of differences in results, e.g. selected targets, treatment selection",False,NA,False,NA,True,"None of the analytic approaches were inherently invalid. Instead, the multiplicity of plausible processing steps implies that there could be several sensible statistical results based on the same original dataset [Comment: Referencing to this 10.1177/1745691616658637]"
Estimating the Reproducibility of Experimental Philosophy,2021,10.1007/s13164-018-0400-9,Joris Frese,Social Sciences and Humanities,Philosophy; Experimental Philosophy,"Many Phenomena, Many studies","""Responding to recent concerns about the reliability of the published literature in psychology and other disciplines, we formed the X-Phi Replicability Project (XRP) to estimate the reproducibility of experimental philosophy"" (Abstract)",True,"""To answer this question, ‘direct’ replications are needed (Doyen et al. 2014). Direct replications—often contrasted with ‘conceptual’ replications—are replications that attempt to follow the design and methods of an original study as closely as possible in order to confirm its reported findings"" (p.14)",Different data - same analysis,(1) Agreement in statistical significance(2) Agreement in effect size(3) Subjective assessment,False,NA,True,10.1521/soco.2014.32.supp.12,True,"Too much to paste, but section 4 of the article discusses in great length the potential reasons why findings in experimental philosophy are so much more replicable than e.g., findings in psychology",False,NA
Estimating the Reproducibility of Experimental Philosophy,2021,10.1007/s13164-018-0400-9,Rachel Heyard,Social Sciences and Humanities,Experimental Philosophy;Philosophy,"Many Phenomena, One Study",Estimating the Reproducibility of Experimental Philosophy,True,"Replicability = ""Direct replications—often contrasted with ‘conceptual’ replications—are replications that attempt to follow the design and methods of an original study as closely as possible in order to confirm its reported findings.""",Different data - same analysis,"(1) Agreement in statistical significance [Comment: Were the replication results statistically significant? For the present research, we defined ‘statistically significant’ as a p-value less than .05, following the currently conventional default standards for Null Hypothesis Significance Testing (NHST).](2) Agreement in effect size [Comment: Comparison of the original and replication effect size: Because sample sizes of replication studies were typically larger than those of original ones, and because calculation of confidence intervals (CIs) for original effect sizes were not always possible (due to a lack of information), we decided to draw this comparison by investigating whether the original effect size fell within the 95% CI of the replication effect size.](3) Subjective assessment [Comment: Subjective assessment of the replicating team: By asking our researchers to register their overall subjective judgment about whether the effect replicated, therefore, they were able to take into consideration the ‘wider picture’.]",False,NA,False,NA,True,"(1) the use of p-values as a criterion for success is especially dubious when applied to studies reporting null results [Comment: Agreement in statistical significance](2) sample sizes of replication studies were typically larger than those of original ones, and calculation of confidence intervals (CIs) for original effect sizes were not always possible (due to a lack of information), [Comment: Agreement in effect size]",False,NA
Many Labs 3: Evaluating participant pool quality across the academic semester via replication,2016,10.1016/j.jesp.2015.10.012,Helena Hartmann,Social Sciences and Humanities,Social psychology;Cognitive psychology,"Many Phenomena, Many studies",examined time of semester variation in 10 known effects 10 individual differences and 3 data quality indicators over the course of the academic semester in 20 participant pools (N=2696) and with an online sample (N=737),True [Comment: only indirectly],finding the same findings in multiple samples,Different data - same analysis,(1) Agreement in statistical significance(2) Agreement in effect size,False,NA,False,NA,False,NA,True,"In addition, for the collected set of effects and measures we sought: (1) diversity of represented research domains, (2) diversity of known or presumed likelihood of variation across the semester, and (3) diversity of “classic” well-established effects and contemporary effects that have untested replicability.;These participants came from a wide range of institutions, producing a relatively diverse undergraduate sample."
Many Labs 3: Evaluating participant pool quality across the academic semester via replication,2016,10.1016/j.jesp.2015.10.012,Rachel Heyard,Social Sciences and Humanities,Psychology [Comment: social psychology; cognitive psychology],"Many Phenomena, Many studies",we investigated the extent to which 10 psychological effects and multiple individual difference variables varied across the academic semester.,"False [Comment: No formal definition, but refer to replication and replicability]",NA,Different data - same analysis,"(1) Agreement in statistical significance [Comment: For each phenomenon, the effect aggregated for all replication participants was compared to the original effect](2) Agreement in effect size [Comment: For each phenomenon, the effect aggregated for all replication participants was compared to the original effect]",False,NA,False,NA,False,NA,True,"These participants came from a wide range of institutions, producing a relatively diverse undergraduate sample.;Given this, one strategy would have been to only select classic, well-established effects for replication. However, it is possible that these effects are well established because they are resistant to contextual variation."
Many Labs 4: Failure to Replicate Mortality Salience Effect With and Without Original Author Involvement,2022,10.1525/collabra.35271,Helena Hartmann,Social Sciences and Humanities,Social psychology,"One Phenomenon, Many Studies",experimentally tested whether original author involvement improved replicability of a classic finding from Terror Management Theory,False,NA,Different data - same analysis [Comment: similar analysis protocol as original study],Meta-analysis of original and replication study/studies,False,NA,True,https://doi.org/10.3389/fpsyg.2014.01521,False,NA,False,NA
